"Date" "ClosingPrice"
"02.01.06" 81.93
"03.01.06" 81.74
"04.01.06" 83.47
"05.01.06" 83.5
"06.01.06" 84.24
"09.01.06" 84.55
"10.01.06" 84.7
"11.01.06" 86.71
"12.01.06" 86.78
"13.01.06" 85.64
"16.01.06" 85.85
"17.01.06" 84.65
"18.01.06" 83.15
"19.01.06" 84.05
"20.01.06" 83.12
"23.01.06" 82.72
"24.01.06" 81.98
"25.01.06" 82.86
"26.01.06" 85.17
"27.01.06" 86.6
"30.01.06" 87.43
"31.01.06" 88.38
"01.02.06" 89.69
"02.02.06" 87.37
"03.02.06" 86.67
"06.02.06" 88.01
"07.02.06" 89.14
"08.02.06" 89.35
"09.02.06" 90.58
"10.02.06" 88.92
"13.02.06" 90.09
"14.02.06" 90.36
"15.02.06" 89.4
"16.02.06" 90.48
"17.02.06" 91.14
"20.02.06" 91.69
"21.02.06" 92.57
"22.02.06" 93.48
"23.02.06" 94.52
"24.02.06" 94.62
"27.02.06" 94.57
"28.02.06" 92.45
"01.03.06" 94.52
"02.03.06" 93.35
"03.03.06" 91.9
"06.03.06" 91.61
"07.03.06" 90.09
"08.03.06" 89.4
"09.03.06" 90.25
"10.03.06" 93.31
"13.03.06" 93.49
"14.03.06" 94.2
"15.03.06" 93.94
"16.03.06" 94.02
"17.03.06" 94.5
"20.03.06" 95.4
"21.03.06" 94.91
"22.03.06" 94.77
"23.03.06" 94.6
"24.03.06" 95
"27.03.06" 94
"28.03.06" 93.3
"29.03.06" 93.44
"30.03.06" 94.75
"31.03.06" 94.25
"03.04.06" 95.29
"04.04.06" 96.44
"05.04.06" 97.76
"06.04.06" 98.12
"07.04.06" 96.42
"10.04.06" 96.76
"11.04.06" 94.48
"12.04.06" 94.15
"13.04.06" 94.21
"18.04.06" 93.88
"19.04.06" 94.86
"20.04.06" 95.88
"21.04.06" 96.09
"24.04.06" 95.1
"25.04.06" 96.01
"26.04.06" 96.35
"27.04.06" 97.13
"28.04.06" 97.32
"02.05.06" 97.23
"03.05.06" 95.56
"04.05.06" 97
"05.05.06" 98.8
"08.05.06" 99.2
"09.05.06" 99.45
"10.05.06" 99.17
"11.05.06" 97.94
"12.05.06" 95.68
"15.05.06" 94.66
"16.05.06" 94.36
"17.05.06" 90.78
"18.05.06" 89.7
"19.05.06" 91
"22.05.06" 88.18
"23.05.06" 89.7
"24.05.06" 88.3
"25.05.06" 90.1
"26.05.06" 91.62
"29.05.06" 91.12
"30.05.06" 88.35
"31.05.06" 89.55
"01.06.06" 90.6
"02.06.06" 88.66
"05.06.06" 87.49
"06.06.06" 85.68
"07.06.06" 85.88
"08.06.06" 83.49
"09.06.06" 85.14
"12.06.06" 84.15
"13.06.06" 81.78
"14.06.06" 82.17
